Row,Keteleeria,Agathis,Nageia,Sciadopitys,Cephalotaxus,Cunninghamia
1,0,0,1,0,1,0
2,0,0,0,0,1,0
3,0,0,0,1,1,1
4,0,1,0,0,1,1
5,0,1,0,0,1,0
6,0,0,1,1,1,1
7,0,0,0,0,1,0
8,0,0,0,0,0,1
9,0,0,0,0,0,1
10,0,0,0,0,0,1
11,0,0,1,0,1,0
12,0,0,1,0,0,0
13,0,0,0,0,0,1
14,1,0,0,1,1,1
15,0,0,1,0,0,0
16,0,0,0,0,1,1
17,0,0,1,0,0,0
18,0,1,0,0,1,0
19,0,0,0,0,1,1
20,0,0,0,0,0,1
21,1,0,0,0,0,0
22,0,0,0,0,1,0
23,0,0,0,0,0,1
24,0,0,1,0,1,0
25,0,0,0,0,1,0
26,0,0,1,0,1,1
27,0,0,0,1,0,1
28,0,0,0,0,1,1
29,0,0,0,0,0,1
30,0,0,1,0,0,0
31,0,0,0,0,1,0
32,0,1,0,0,1,1
33,0,0,0,0,1,1
34,0,0,1,0,0,0
35,0,1,0,1,1,1
36,0,0,1,0,0,0
37,0,0,0,0,1,1
38,0,0,0,1,1,0
39,0,1,0,1,1,1
40,0,0,0,0,1,0
41,0,0,0,0,0,1
42,0,0,0,0,1,1
43,0,0,1,0,0,0
44,0,0,0,0,0,1
45,0,0,0,1,1,1
46,0,1,0,0,1,1
47,0,0,0,0,1,1
48,0,1,0,1,1,1
49,0,0,1,0,1,1
50,0,0,0,0,1,0
51,0,0,1,0,0,0
52,0,0,1,0,0,1
53,0,0,0,1,0,0
54,0,1,1,1,1,1
55,0,0,0,0,0,1
56,0,0,0,0,0,1
57,0,0,1,1,0,0
58,0,0,0,0,0,1
59,1,0,0,0,1,1
60,0,0,0,1,1,0
61,0,1,0,0,0,0
62,0,1,0,0,1,0
63,0,0,1,0,0,0
64,1,1,0,1,0,1
65,1,1,1,0,0,1
66,0,0,0,0,1,0
67,1,0,0,0,0,0
68,0,1,0,0,0,0
69,0,0,0,1,0,0
70,0,0,0,0,1,0
71,1,1,1,0,0,1
72,1,1,1,1,1,1
73,1,0,0,0,0,0
74,0,0,0,0,0,1
75,1,1,0,0,1,1
76,1,0,1,0,1,1
77,1,0,0,0,1,0
78,0,0,0,1,0,0
79,1,1,1,0,1,1
80,1,1,0,0,1,1
81,1,0,0,0,0,0
82,0,0,0,1,0,0
83,1,0,0,0,0,1
84,0,0,1,0,0,0
85,1,0,0,1,1,0
86,1,0,0,0,0,0
87,1,1,1,1,1,1
88,1,1,1,1,1,1
89,1,0,0,0,0,0
90,1,0,0,0,0,0
91,1,1,1,1,1,1
92,1,0,0,1,0,0
93,0,0,0,1,1,1
94,1,0,1,1,1,1
95,0,0,1,0,1,1
96,1,0,1,1,1,1
97,1,0,1,1,1,1
98,1,1,1,1,1,1
99,0,0,0,0,0,1
100,0,0,1,0,0,1
101,0,0,0,1,1,1
102,1,0,1,1,1,1
103,1,0,0,0,0,0
104,1,0,0,0,0,0
105,0,0,0,0,1,0
106,0,0,0,0,1,0
107,1,1,1,1,0,1
108,0,0,0,1,0,0
109,0,0,0,0,0,1
110,0,0,0,0,1,1
111,0,0,0,0,1,0
112,1,0,0,1,0,1
113,1,0,0,0,0,0
114,0,0,1,0,1,1
115,1,0,0,0,0,0
116,1,0,0,0,0,0
117,1,0,0,0,0,0
118,1,0,1,0,0,0
119,0,0,0,1,0,0
120,0,0,0,0,0,1
121,0,0,0,0,0,1
122,0,0,0,0,0,1
123,1,0,0,0,0,0
124,1,0,0,0,0,0
125,0,0,0,0,0,1
126,1,0,1,0,1,1
127,1,0,0,0,0,0
128,0,1,0,0,1,1
129,0,1,0,1,0,0
130,1,0,0,0,0,0
131,1,0,0,0,1,1
132,0,0,1,0,0,0
133,1,0,0,1,0,0
134,1,0,0,0,0,0
135,1,1,0,1,1,1
136,1,0,0,0,0,0
137,1,1,1,0,0,0
138,0,1,1,0,0,0
139,1,1,1,0,0,0
140,1,1,1,0,0,1
141,1,1,1,1,1,1
142,1,0,1,1,1,1
143,1,0,0,0,0,0
144,0,0,1,0,0,0
145,1,0,0,0,1,1
146,1,0,0,0,0,0
147,0,0,1,0,0,0
148,0,0,1,0,0,1
149,0,0,1,0,0,1
150,1,1,0,1,1,1
151,0,0,0,0,0,1
152,0,0,1,0,0,0
153,0,1,0,0,0,0
154,0,0,1,0,0,0
155,0,0,1,0,0,0
156,1,0,1,1,0,0
157,1,0,0,0,0,0
158,0,0,1,1,1,1
159,0,0,0,0,1,1
160,0,0,0,1,1,1
161,1,0,0,0,0,0
162,0,1,0,0,1,1
163,1,0,0,0,0,0
164,0,0,1,1,1,1
165,1,0,0,0,0,0
166,1,0,1,1,1,0
167,1,1,0,0,1,1
168,1,0,0,0,0,0
169,1,1,1,1,1,1
170,1,0,0,0,0,0
171,0,0,0,0,1,0
172,0,0,1,0,0,0
173,1,0,0,0,0,0
174,0,0,0,0,0,1
175,1,0,0,0,0,0
176,1,0,0,0,0,0
177,1,1,1,1,1,1
178,1,0,0,0,0,0
179,0,0,1,0,0,0
180,0,0,1,0,0,0
181,1,0,1,0,0,0
182,0,0,0,0,1,0
